OBJECTID,conduitid,routeid,startnode,endnode,nestcolumn,nestrow,nbnlength,subductnum,actlength,material,diameter,leadin,fill,cableids,owner,scopestate,blockenda,blockendb,blocksurf,mandrelcal,mandrelscp,mandrelmax,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,ohsflag,stdcomment,fircomment,othcomment,loadsource,phototaken,projectid,Shape,GlobalID
178,207687635,201559849,207687615,207687633,A,A,81.3,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104040000006CE7FBBD8699684150D1917C28554DC18CDB68E47D996841002B877E09554DC128A089B27D996841483789490A554DC1AC8BDB6E7D996841E895B25C09554DC101000000010000000001000000FFFFFFFF0000000002,15323AA8-2E00-4130-80D8-7062FDDEA15E
179,15009367750,15001821069,207485316,15009367749,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000072F90F21F5956841D834EF30954C4DC1D812F2A7F4956841F01FD287944C4DC1BE5296E7F3956841280F0B8D994C4DC101000000010000000001000000FFFFFFFF0000000002,156C2E1C-162E-441A-B60B-403225580532
180,15013855982,15003241991,15013855343,207198131,A,A,58,0,0,,100, ,0,6PNJ-00-00-TSS-004,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114DCF97E4E75976841B8DA8AFD1C4E4DC1E2C7982F70976841607FD925E04D4DC1,DDEA2F23-4CB7-44A1-A8EA-A822D360C373
181,15004632263,15000924157,207679471,207679267,A,A,49.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104040000001A2FDDA0F499684178832F8CC1564DC1842F4CD6F4996841B8B88DEECA564DC1BE5296E3F2996841B84082DAD3564DC1BC749350F0996841E80434E9D4564DC101000000010000000001000000FFFFFFFF0000000002,A84363DB-E630-454E-AE7C-913A06CB4F03
182,4213233139,4202129620,207500887,4213233120,A,A,12.7,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000B20C716EBF95684140C6DCADE94C4DC1E09C1159BF956841B0D85F8EE84C4DC12041F151BF956841F0C9C312E34C4DC101000000010000000001000000FFFFFFFF0000000002,B8AE681F-9335-4ED9-824A-5D6ABCB631E8
183,4213169516,4202117528,5000370178,4213169460,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000501E1602E1956841E83FA4FFC64C4DC110E9B7B3E0956841A835CD23C64C4DC11058395EE0956841F8A9F1DAC04C4DC101000000010000000001000000FFFFFFFF0000000002,5AEEC9FA-4FF2-4523-A761-7ECB43623C45
184,207316556,201505466,207236984,207371411,A,A,28.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001147EFB3A085D9A68411061C35B95574DC1782D21AB5B9A6841C810C70A9B574DC1,0BF23ACF-B5DE-4F43-8B22-8015C52C823F
185,207316558,201505466,207236984,207371411,A,B,28.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001147EFB3A085D9A68411061C35B95574DC1782D21AB5B9A6841C810C70A9B574DC1,CC8AEF16-C268-42D3-B5A6-E0F070F265E2
186,207316558,201505466,207236984,207371411,B,A,28.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001147EFB3A085D9A68411061C35B95574DC1782D21AB5B9A6841C810C70A9B574DC1,6E0E76AB-B03D-4287-9BF4-AF9C56A53AB7
187,15017228700,201505466,207236984,207371411,A,A,28.7,1,0,,32, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001147EFB3A085D9A68411061C35B95574DC1782D21AB5B9A6841C810C70A9B574DC1,ABA25272-AD36-490A-9202-3A7415C979F0
188,4213243515,4202131653,207612855,4213243475,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000C2A8A4EA17986841D878E94638504DC1508D97581798684188A757F237504DC1DEE00B7116986841907EFB0A3C504DC101000000010000000001000000FFFFFFFF0000000002,F7A67055-F079-4417-8787-E55DF7C2E922
189,207612002,201546944,207611992,207612000,A,A,37.8,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011438454750419A684100D5783145574DC1EA043419459A684170F90F2154574DC1,667016A0-DD30-45B6-BBD0-18E75990A33B
190,207680689,201558462,207680660,207680685,A,A,57.2,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114081B9ECEE4996841F0F44A9182564DC13E575BEFDE996841C8B12E4E6B564DC1,880DC2A4-0C58-4754-976C-F4F2FC8CB16E
191,207239278,201479442,207237099,207237592,A,A,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,96378B61-492C-48B3-A976-DF58C556D1E7
192,207239279,201479442,207237099,207237592,B,A,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,A1449A71-BFC2-48E9-9B87-0D6A7735685C
193,207239280,201479442,207237099,207237592,C,A,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,08AEB2D6-91CD-44FE-8B58-64CBE487F5D0
194,207239281,201479442,207237099,207237592,A,B,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,738D9340-8F42-47EB-A46F-008AD784C2D8
195,207239282,201479442,207237099,207237592,B,B,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,A9941E2A-3C8E-44BA-A996-F0586A78EE56
196,207239283,201479442,207237099,207237592,C,B,20.7,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000034EF38BB509A68413811367C8E574DC13AB4C8BE509A684130B29D278E574DC16C09F9AC509A68418816D99682574DC101000000010000000001000000FFFFFFFF0000000002,5C0D1075-4206-4709-8AA6-1A87ED9A212B
197,15011548268,15002527826,15011547163,15011547216,A,A,17.6,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000B0E1E9E1C2996841A835CDB3CC554DC1ECE23682C3996841A80A46EDC9554DC11873D76CC3996841E07A14AEC7554DC101000000010000000001000000FFFFFFFF0000000002,B601BCB3-3885-4A7E-9E3F-97C96F5377A5
198,15008502543,15001614568,15006734003,15008502542,A,A,12,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000A857CA320B9A684170B515EB36574DC13AB4C8A40B9A6841D0CCCCC438574DC1FEB27B040B9A68414825757A3B574DC101000000010000000001000000FFFFFFFF0000000002,BEBFB902-ABED-4339-B54F-81613999F8F0
199,15010246174,15002029059,15010234851,15010246173,A,A,6,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000005A423E74CB99684150499D10E0554DC152B81E6DCB996841E8C039FBE1554DC1A223B974CC99684158EC2F03E6554DC101000000010000000001000000FFFFFFFF0000000002,270618A2-3658-4686-B75E-C8E22A4A4E46
200,207698801,201561569,207687633,207698793,A,A,202.7,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000016FBCB4E7D99684180D0B39108554DC1721B0D247D996841B88D06B806554DC1DA1B7C576A996841C0E314C5C4544DC13A70CEDA699968417824975FC4544DC101000000010000000001000000FFFFFFFF0000000002,5F932B5F-9762-4601-AF75-D56A41CFA1B9
201,15014729277,15003469585,5000947315,15014729275,A,A,32,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000018B7D1FCA199684190B96B1185554DC10022FDCEA299684100D578698B554DC186EB51E0A199684188A757828F554DC101000000010000000001000000FFFFFFFF0000000002,12DCA00A-CC69-464F-AA05-51E695ED775B
202,4213245895,4202132053,207615370,4213245863,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000D812F2D937986841C8FEB2FB49504DC1A6BDC1EB37986841787AA5BC47504DC1545227E436986841D809681A44504DC101000000010000000001000000FFFFFFFF0000000002,74C17ABA-6514-4243-9B28-9602F0C82074
203,207612457,201547070,207612452,207612455,A,A,34.4,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011438D6C5EF5D9A684130BB2767B6574DC19E80260A619A6841907EFBC2C2574DC1,4D1DE55C-3EEE-44F3-A94F-132FB201C872
204,15011550075,15002528780,15011547159,15011550074,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000024D8463B7996841F0FDD4B0A0554DC1F0A7C6FFB6996841F0EBC0C1A0554DC1506B9A2DB699684130B29D0FA4554DC101000000010000000001000000FFFFFFFF0000000002,4E783FC8-D29D-4384-AA23-290D6588309F
205,207612438,201547067,207612009,5002306148,A,A,11,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114842F4C30509A6841C820B00A38574DC10E9C33D8519A6841E8839E953E574DC1,372CBE61-1BF3-46F1-B424-E36177B028FD
206,4213245261,4202131932,207612806,4213245229,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000004C58F6D25986841A8DFBEB667504DC13255305825986841C8A145D668504DC1C2A8A47024986841D878E9EE6C504DC101000000010000000001000000FFFFFFFF0000000002,35803B51-13CE-42BC-B21F-EBEC8F2EF3A6
207,15010237202,15002027074,15010236293,15010237201,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000D200DE9EE1996841782497772B564DC1DA8AFDA5E1996841D8ACFA8C29564DC18A1F639EE0996841903A018525564DC101000000010000000001000000FFFFFFFF0000000002,83A42B83-9E76-42D0-BBBB-62117CE4EC55
208,4213244587,4202131811,207613864,4213244553,A,A,11,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000F8C2641808986841A0ABADD800504DC186A75786079868413033337300504DC1D2915CA206986841806ABC9C04504DC101000000010000000001000000FFFFFFFF0000000002,60A06DFD-3320-404E-88AC-A8E597385EF8
209,207612417,201547065,207611849,207612412,A,A,33.5,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010405000000789CA285329A6841402CD4920A574DC1E09C11BB329A684148EA043C0B574DC1F0F44A1F349A684168DE71B20B574DC164CC5D99369A684168226C3001574DC180B74020369A6841181DC93DFB564DC101000000010000000001000000FFFFFFFF0000000002,9C03F898-C3BA-4D80-9E7B-C9C9A79DBF70
210,4213244140,4202131740,207613876,4213244099,A,A,14.6,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FAEDEBA003986841204A7B43F04F4DC18E976E1203986841B8D100DEEF4F4DC120B0722E02986841081B9EF6F34F4DC101000000010000000001000000FFFFFFFF0000000002,1B506196-627B-44EC-B204-3BA0D19C5C9E
211,15010246169,15002029058,15010235849,15010246168,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000DACEF7BBCC996841801D38C7DA554DC1D40968B8CC9968411895D4B1DC554DC1DC4603C0CD99684180C0CAB9E0554DC101000000010000000001000000FFFFFFFF0000000002,0E26BD6E-B8C8-4EE9-9A76-08F402C729B3
212,4213245555,4202131989,207612790,4213245524,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010405000000B22E6EDD2898684148696F6873504DC11A2FDD122998684100BC054275504DC1E8D9AC2429986841F8CBEE317C504DC1A835CD2B29986841D8C56D1C7E504DC1ACFA5C2F29986841C854C12880504DC101000000010000000001000000FFFFFFFF0000000002,8017CFC3-426D-470F-938F-C22053A796DD
213,15008831096,15001694323,207610261,15008831094,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000005C6DC5A03E9A6841F0F44A5970574DC1FEF675723E9A6841C8DCB50470574DC176E09C233D9A684108560EDD6A574DC101000000010000000001000000FFFFFFFF0000000002,9165B872-F86F-404C-BE77-C8C8844F9323
214,207318566,201479507,207237266,207237295,A,A,1,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001144872F94DF29968418048BF0DBD564DC1BE5296E3F2996841F8065FF0BA564DC1,0AF7554F-1EFE-4454-974C-6BC0894CF8D9
215,4213244316,4202131769,207613892,4213244280,A,A,14.6,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000DCD78149FF9768411061C313E04F4DC1744694BEFE976841A8E848AEDF4F4DC1BA6B09D7FD976841F831E6C6E34F4DC101000000010000000001000000FFFFFFFF0000000002,9ED8B4DB-F234-4CDC-A649-2DA0D7939225
216,15006986830,15001310181,207236932,15006986824,A,A,1,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001148816D9265A9A6841B837F862A1574DC1BA6B09155A9A6841C0309982A2574DC1,2A3928B8-0F2A-4FB4-AEC1-7E9B79802277
217,15010246189,15002026666,15010234965,15010235756,A,A,60,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040E0000008AB0E16BC1996841180DE045EE554DC110E9B765C3996841708A8E54EF554DC194180406C499684150FC181BF2554DC162325500C7996841384547F2E5554DC16ABC7407C799684148696FD0E5554DC134A2B415C799684130E6AE9DE5554DC10612142BC79968411851DA7BE5554DC18E537440C79968412063EE6AE5554DC162C3D355C79968412063EE6AE5554DC12E6EA367C79968411851DA7BE5554DC100DE027DC799684130E6AE9DE5554DC1CAC3428BC799684148696FD0E5554DC1D24D6292C799684140575BE1E5554DC194658881C9996841B059F569ED554DC101000000010000000001000000FFFFFFFF0000000002,B33AB07D-F4E8-48D3-8EC3-9284AC23AB1B
218,4213236259,4202130409,5000370639,4213236235,A,A,13,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000B615FBD3D9956841806ABC2C5D4C4DC128A08910DA9568410812142F5C4C4DC1A62C4358DB95684188EB51885A4C4DC101000000010000000001000000FFFFFFFF0000000002,587B1E01-F7B6-4FB1-8E59-4AD2B95B562F
219,4213061365,4202094156,207698793,4213061347,A,A,12.3,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000096900FB069996841C0E314C5C4544DC1CA54C14869996841180456BEC7544DC12675021E69996841C064AA10C9544DC17CD0B3EF68996841501E1652CA544DC101000000010000000001000000FFFFFFFF0000000002,39605EBB-A76B-4C45-9437-B84074420305
220,5002566664,5000449232,207607683,5002566656,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000002C65193A5D9A6841F8A9F1C285574DC18CDB68685D9A6841B0B662C783574DC1B0506BB8599A6841A0F8314E75574DC101000000010000000001000000FFFFFFFF0000000002,F07EF28E-5BFF-45A3-A2BB-FACB44355705
221,4213232939,4202129558,207500808,4213232920,A,A,14.5,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000064AA60CAC5956841809543138C4C4DC12675027CC5956841C832C4398A4C4DC11EA7E81EC4956841C832C4398A4C4DC101000000010000000001000000FFFFFFFF0000000002,076B9FC5-5622-4228-B3E4-F83555BA3FAB
222,207716561,201564376,207716558,207707524,A,A,42.5,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114C2F5289ECD98684168B3EA6BA4524DC19A99999FD0986841009A08C394524DC1,9AECD4AD-A28C-4179-806A-E69F5AB1B7E9
223,5000370156,5000053422,5000370155,5000370147,A,A,39,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011498DD934BC895684160E5D0B2AD4C4DC19CA2234FC89568418048BFF5C34C4DC1,9E434162-2712-4D11-8139-69166E5D7415
224,4213063734,4202094721,207611164,4213063721,A,A,9.8,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000F4FDD4823B9A6841B00C713C7D574DC18638D6493B9A6841C030991A7D574DC13EE8D99E3A9A6841607FD9757A574DC101000000010000000001000000FFFFFFFF0000000002,C4259A1D-D54E-4005-97E5-CA680CE82A4E
225,4213061739,4202094252,207687010,4213061721,A,A,20.8,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104040000008E06F03CA2996841606DC50E68554DC12C431C0FA3996841F07C3F7D64554DC1D0B3598FA399684120DBF94E62554DC14A598628A4996841188C4AAA5F554DC101000000010000000001000000FFFFFFFF0000000002,7ADA187C-522B-41B2-8A6E-E99DC9BA620C
226,15007460512,15001401625,207612841,207612855,A,A,40,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000088635D701C98684110022B5747504DC180D93D691C9868419006F0BE46504DC1A6BDC16318986841F00DBE6838504DC138F8C22A18986841F00DBE6838504DC101000000010000000001000000FFFFFFFF0000000002,BA0C9AAE-8AA7-444C-B53F-4702EEE33AF3
227,4213062084,4202094336,207687615,4213062075,A,A,20.1,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000645DDCB68699684170D712E228554DC12497FF1286996841A001BC2529554DC14A5986A08499684130772D292F554DC101000000010000000001000000FFFFFFFF0000000002,7DEA1AD2-188B-4041-89EE-CAE94F2023A9
228,4213244405,4202131783,207613920,4213244370,A,A,14.5,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000D200DE88F697684118D9CE5FBF4F4DC12041F1FDF5976841A86054FABE4F4DC1B81E851DF5976841400AD723C34F4DC101000000010000000001000000FFFFFFFF0000000002,CF1F88CA-BD42-4BA2-AFC2-ECC4E622F2AA
229,15013196756,15003120721,15013196702,15013196697,A,A,333,0,0,,100, ,0,6PNJ-00-00-TSS-005,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000066F7E4C797966841386744093E4D4DC1780B24CA7E966841208E75496B4D4DC1A245B6976E966841A05E2943924D4DC112A5BD036A96684180734624984D4DC101000000010000000001000000FFFFFFFF0000000002,8398C1B0-5E02-4200-9C22-EDD83B4E9F20
230,15011550152,15002528797,15011547344,15011550149,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000726891F5B7996841B09DEFD787554DC12EFF21F9B799684140A4DF7E89554DC120F46CD2B8996841888EE4AA8C554DC101000000010000000001000000FFFFFFFF0000000002,22321DB6-7845-45CB-B7E7-BFE943CD3B6C
231,5002464918,5000428584,5002413342,5002464916,A,A,20,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010404000000361AC0DFC5956841B8AF036FCA4C4DC13889418AC595684148696F60C94C4DC172AC8B97C395684160105871C94C4DC1FA5C6D57C395684160105871C94C4DC101000000010000000001000000FFFFFFFF0000000002,966CF95D-DD12-478C-91AE-A727ECF41A98
232,15013856454,15003240634,207193367,15013196712,A,A,205,0,0,,100, ,0,6PNJ-00-00-TSS-005,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010404000000BE9F1A31F596684120A7E828E84C4DC12063EED8E7966841D0F75313EA4C4DC166F7E45DE3966841D8C56DBCEA4C4DC1C286A757D6966841F01648F0F84C4DC101000000010000000001000000FFFFFFFF0000000002,E132B460-7BE5-4B4C-84A6-08195DD1B21F
233,207239342,201479600,207237087,207237099,A,A,55.2,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000032772D33569A6841F041CFF6A3574DC12EB29D2F569A6841A813D084A1574DC1D42B658D519A6841504013698F574DC19A2A18ED509A6841482EFF798F574DC101000000010000000001000000FFFFFFFF0000000002,16FF48E6-BF0D-4256-9002-B9F397886F01
234,207239343,201479600,207237087,207237099,B,A,55.2,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000032772D33569A6841F041CFF6A3574DC12EB29D2F569A6841A813D084A1574DC1D42B658D519A6841504013698F574DC19A2A18ED509A6841482EFF798F574DC101000000010000000001000000FFFFFFFF0000000002,50A5F581-42C7-4CDD-A6A1-4C9B0121CCD9
235,207239344,201479600,207237087,207237099,A,B,55.2,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000032772D33569A6841F041CFF6A3574DC12EB29D2F569A6841A813D084A1574DC1D42B658D519A6841504013698F574DC19A2A18ED509A6841482EFF798F574DC101000000010000000001000000FFFFFFFF0000000002,B0F8F4DC-E33F-4E51-BCD5-E0497B6CC927
236,207239345,201479600,207237087,207237099,B,B,55.2,0,0,,100, ,0,6PNJ-00-00-TSS-001,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000032772D33569A6841F041CFF6A3574DC12EB29D2F569A6841A813D084A1574DC1D42B658D519A6841504013698F574DC19A2A18ED509A6841482EFF798F574DC101000000010000000001000000FFFFFFFF0000000002,1D86C583-7955-4CD4-8EFE-FE6BD61E4D33
237,4213063282,4202094614,207611894,4213063266,A,A,9.7,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000009ECDAAB1179A684118E258C7FA564DC102098AE3179A684108AC1CFAFA564DC106F01692189A6841A8CFD59EFD564DC101000000010000000001000000FFFFFFFF0000000002,A364A0B7-14F0-47E2-B7CE-7C5093D312B4
238,15013196757,15003120722,15013196717,15013196702,A,A,167,0,0,,100, ,0,6PNJ-00-00-TSS-005,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010404000000D656EC7DAF966841884160D52F4D4DC1D409687C9D96684128CB107F374D4DC1E00B93499B966841887CD06B384D4DC1D4BCE30098966841A835CDA33D4D4DC101000000010000000001000000FFFFFFFF0000000002,1C75BE44-50D6-4F07-8F22-36A2E64D0676
239,4213243843,4202131699,207613798,4213243806,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000BAB88D9A0C986841508D97E610504DC1A8A44E8C0C986841B08BDB3812504DC14082E2AB0B986841F8C2646216504DC101000000010000000001000000FFFFFFFF0000000002,DE5F6341-E6EA-4C77-AB99-8632A9A79A37
240,4213232515,4202129440,5000370163,4213232487,A,A,13.2,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000006688635DC8956841B815FBAB934C4DC19C33A2A4C8956841F01FD287944C4DC1E86A2BFEC9956841D878E976944C4DC101000000010000000001000000FFFFFFFF0000000002,239BE0A9-403A-44A3-8DC7-959DBCAF4219
