OBJECTID,conduitid,routeid,startnode,endnode,nestcolumn,nestrow,nbnlength,subductnum,actlength,material,diameter,leadin,fill,cableids,owner,scopestate,blockenda,blockendb,blocksurf,mandrelcal,mandrelscp,mandrelmax,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,ohsflag,stdcomment,fircomment,othcomment,loadsource,phototaken,projectid,Shape,GlobalID
12,15014596326,15003436165,15014596273,15014596284,A,A,26.9,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011494A9823B2C9A684188F4DBBF2B574DC1CAE53F9A299A68417068918536574DC1,4F42CCC9-BE9B-4B7B-A876-4FD605DD0E2F
13,15013601895,15003179747,207237196,15008876994,A,A,57.5,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104040000001AE258711E9A68412041F17364574DC14C158CF2209A684190CB7F906E574DC1A69BC456229A684158B1BF0C74574DC1244A7B49249A6841880D4FB77B574DC101000000010000000001000000FFFFFFFF0000000002,F083FCB7-DFFA-4EDF-B7AA-D151A24BE615
14,4213234929,4202130094,5000370657,4213234904,A,A,12.8,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000BC051222D295684140575BA9704C4DC15405A3ECD1956841004D84CD6F4C4DC102098A8FD095684120F46CDE6F4C4DC101000000010000000001000000FFFFFFFF0000000002,5434FD1A-AD50-4655-BB23-22C3B606FD26
15,15011550006,15002528763,15011547194,15011550004,A,A,8,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000464772F3BA996841B047E172A5554DC10EBE3057BB99684198B20C51A5554DC1F6285C29BC99684178A52C03A2554DC101000000010000000001000000FFFFFFFF0000000002,49ED0CDB-D8D7-4308-B5AF-8389FED3A1F9
16,207240643,201479772,207237041,207237043,C,D,21.3,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FC187329589A6841F831E606AC574DC1923A019F589A6841F8E461A1AB574DC1DEE00BA3599A684160EE5ABAAF574DC101000000010000000001000000FFFFFFFF0000000002,C581C0D3-C887-467B-A079-6F0436CBA85A
17,207240644,201479772,207237041,207237043,D,D,21.3,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FC187329589A6841F831E606AC574DC1923A019F589A6841F8E461A1AB574DC1DEE00BA3599A684160EE5ABAAF574DC101000000010000000001000000FFFFFFFF0000000002,37E9D51E-1BAA-4C76-9EE0-5F3FA2BE37F9
18,207240645,201479772,207237041,207237043,C,E,21.3,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FC187329589A6841F831E606AC574DC1923A019F589A6841F8E461A1AB574DC1DEE00BA3599A684160EE5ABAAF574DC101000000010000000001000000FFFFFFFF0000000002,6F8A4A32-92EE-4538-97A2-AD95A73B86DF
19,207240646,201479772,207237041,207237043,D,E,21.3,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FC187329589A6841F831E606AC574DC1923A019F589A6841F8E461A1AB574DC1DEE00BA3599A684160EE5ABAAF574DC101000000010000000001000000FFFFFFFF0000000002,2B678DD1-98DD-4C2B-9F61-2E8AA5A9B2C6
20,15007460510,15001401626,207612813,15008235801,A,A,40,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000078E926DD20986841E83FA4FF56504DC1029A089D209868413870CE5855504DC1384547A61D986841B8847CE84A504DC101000000010000000001000000FFFFFFFF0000000002,9CA85B89-C2D7-4087-9337-E1FB8EA59723
21,15017287635,15004115663,5001010659,15017287629,A,A,62,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001141A2FDD0AA9996841302AA9536F554DC11C0DE0DBAE996841A8F1D24557554DC1,C6FBB3FC-559A-4427-9568-7A236483157C
